'date','symbol','open','high','low','close','Volume BTC','Volume BRL','tradecount'
'2022-03-24 00:00:00','BTC/BRL','208590.00000000','215000.00000000','206500.00000000','213041.00000000','494.44786000','104261685.70556000',21608
'2022-03-23 00:00:00','BTC/BRL','209568.00000000','210471.00000000','205000.00000000','208502.00000000','394.96156000','81902784.55058000',18225
'2022-03-22 00:00:00','BTC/BRL','203940.00000000','213812.00000000','203258.00000000','209573.00000000','599.55843000','125999546.87297000',26034
'2022-03-21 00:00:00','BTC/BRL','208537.00000000','209550.00000000','203095.00000000','203947.00000000','393.74335000','80898833.03424000',20639
'2022-03-20 00:00:00','BTC/BRL','213148.00000000','213495.00000000','206618.00000000','208534.00000000','149.03662000','31267262.61925000',11031
'2022-03-19 00:00:00','BTC/BRL','210661.00000000','213868.00000000','209012.00000000','213178.00000000','188.69655000','39895621.17216000',13848
'2022-03-18 00:00:00','BTC/BRL','206848.00000000','212994.00000000','203300.00000000','210623.00000000','357.38994000','74186804.01286000',20003
'2022-03-17 00:00:00','BTC/BRL','209132.00000000','211000.00000000','205156.00000000','206849.00000000','378.89429000','78691318.52812000',19015
'2022-03-16 00:00:00','BTC/BRL','202185.00000000','213841.00000000','198888.00000000','209150.00000000','676.42073000','139782440.05226000',30527
'2022-03-15 00:00:00','BTC/BRL','202889.00000000','204999.00000000','195571.00000000','202059.00000000','429.67512000','86168911.70180000',21290
'2022-03-14 00:00:00','BTC/BRL','193022.00000000','203950.00000000','191800.00000000','202872.00000000','432.95394000','85693365.40689000',19941
'2022-03-13 00:00:00','BTC/BRL','197558.00000000','200141.00000000','191776.00000000','192820.00000000','209.99870000','41382975.59800000',12984
'2022-03-12 00:00:00','BTC/BRL','197048.00000000','201110.00000000','196743.00000000','197584.00000000','318.73212000','63408413.89376000',14184
'2022-03-11 00:00:00','BTC/BRL','199173.00000000','202859.00000000','193129.00000000','197162.00000000','468.61630000','92575526.71375000',20898
'2022-03-10 00:00:00','BTC/BRL','211516.00000000','212000.00000000','195717.00000000','199173.00000000','428.75113000','85693194.59107000',20544
'2022-03-09 00:00:00','BTC/BRL','197778.00000000','215290.00000000','197225.00000000','211516.00000000','390.98368000','82450515.06160000',24532
'2022-03-08 00:00:00','BTC/BRL','195208.00000000','200975.00000000','194690.00000000','197776.00000000','295.92116000','58589027.97331000',14957
'2022-03-07 00:00:00','BTC/BRL','196731.00000000','200900.00000000','190277.00000000','195375.00000000','387.67294000','75978045.55729000',23012
'2022-03-06 00:00:00','BTC/BRL','201419.00000000','203040.00000000','195039.00000000','196615.00000000','166.87038000','33157862.27095000',13083
'2022-03-05 00:00:00','BTC/BRL','200015.00000000','202831.00000000','197379.00000000','201460.00000000','174.35818000','34979695.83830000',13595
'2022-03-04 00:00:00','BTC/BRL','214966.00000000','215403.00000000','197149.00000000','200001.00000000','341.63860000','70767812.27303000',18956
'2022-03-03 00:00:00','BTC/BRL','225221.00000000','225910.00000000','211900.00000000','214985.00000000','304.72465000','66525465.32600000',16076
'2022-03-02 00:00:00','BTC/BRL','228750.00000000','232838.00000000','223000.00000000','225047.00000000','411.19470000','93300974.15339000',21919
'2022-03-01 00:00:00','BTC/BRL','222697.00000000','231794.00000000','220334.00000000','228742.00000000','345.99871000','78056909.14529000',25899
'2022-02-28 00:00:00','BTC/BRL','196365.00000000','227999.00000000','195054.00000000','222638.00000000','380.84784000','79890972.35977000',28461
'2022-02-27 00:00:00','BTC/BRL','203324.00000000','207100.00000000','192886.00000000','196220.00000000','174.33227000','34736122.48334000',12403
'2022-02-26 00:00:00','BTC/BRL','203725.00000000','208888.00000000','200400.00000000','203300.00000000','129.99233000','26531332.64872000',10976
'2022-02-25 00:00:00','BTC/BRL','197549.00000000','205726.00000000','196022.00000000','203735.00000000','303.40354000','61055993.10418000',20497
'2022-02-24 00:00:00','BTC/BRL','188003.00000000','203582.00000000','172816.00000000','197587.00000000','785.24843300','145281413.67288600',42179
'2022-02-23 00:00:00','BTC/BRL','195244.00000000','199712.00000000','187360.00000000','188141.00000000','295.94267000','57295439.39525000',17392
'2022-02-22 00:00:00','BTC/BRL','190896.00000000','196383.00000000','187607.00000000','195031.00000000','305.03609000','58666817.97840000',18965
'2022-02-21 00:00:00','BTC/BRL','199463.00000000','204999.00000000','190000.00000000','191029.00000000','408.03187000','80216942.85931000',29009
'2022-02-20 00:00:00','BTC/BRL','207997.00000000','208266.00000000','197275.00000000','199340.00000000','139.79679000','27948140.52690000',13088
'2022-02-19 00:00:00','BTC/BRL','207397.00000000','209812.00000000','205603.00000000','207985.00000000','77.19132000','16023767.76325000',8088
'2022-02-18 00:00:00','BTC/BRL','211224.00000000','213915.00000000','204004.00000000','207231.00000000','250.81648000','52359917.29154000',16736
